Third-Party Crates and Licenses for NeoSTS
==========================================

Format: crate | version | license | url

ab_glyph | 0.2.32 | Apache-2.0 | https://github.com/alexheretic/ab-glyph
ab_glyph_rasterizer | 0.1.10 | Apache-2.0 | https://github.com/alexheretic/ab-glyph
accesskit | 0.21.1 | MIT OR Apache-2.0 | https://github.com/AccessKit/accesskit
accesskit_consumer | 0.31.0 | MIT OR Apache-2.0 | https://github.com/AccessKit/accesskit
accesskit_macos | 0.22.2 | MIT OR Apache-2.0 | https://github.com/AccessKit/accesskit
accesskit_windows | 0.29.2 | MIT OR Apache-2.0 | https://github.com/AccessKit/accesskit
accesskit_winit | 0.29.2 | Apache-2.0 | https://github.com/AccessKit/accesskit
adler2 | 2.0.1 | 0BSD OR MIT OR Apache-2.0 | https://github.com/oyvindln/adler2
ahash | 0.8.12 | MIT OR Apache-2.0 | https://github.com/tkaitchuck/ahash
arboard | 3.6.1 | MIT OR Apache-2.0 | https://github.com/1Password/arboard
autocfg | 1.5.0 | Apache-2.0 OR MIT | https://github.com/cuviper/autocfg
base64 | 0.22.1 | MIT OR Apache-2.0 | https://github.com/marshallpierce/rust-base64
bitflags | 1.3.2 | MIT OR Apache-2.0 | https://github.com/bitflags/bitflags
bitflags | 2.11.0 | MIT OR Apache-2.0 | https://github.com/bitflags/bitflags
block2 | 0.5.1 | MIT | https://github.com/madsmtm/objc2
block2 | 0.6.2 | MIT | https://github.com/madsmtm/objc2
bytemuck | 1.25.0 | Zlib OR Apache-2.0 OR MIT | https://github.com/Lokathor/bytemuck
bytemuck_derive | 1.10.2 | Zlib OR Apache-2.0 OR MIT | https://github.com/Lokathor/bytemuck
byteorder-lite | 0.1.0 | Unlicense OR MIT | https://github.com/image-rs/byteorder-lite
cfg_aliases | 0.2.1 | MIT | https://github.com/katharostech/cfg_aliases
cfg-if | 1.0.4 | MIT OR Apache-2.0 | https://github.com/rust-lang/cfg-if
cgl | 0.3.2 | MIT  OR  Apache-2.0 | https://github.com/servo/cgl-rs
clipboard-win | 5.4.1 | BSL-1.0 | https://github.com/DoumanAsh/clipboard-win
core-foundation | 0.10.1 | MIT OR Apache-2.0 | https://github.com/servo/core-foundation-rs
core-foundation | 0.9.4 | MIT OR Apache-2.0 | https://github.com/servo/core-foundation-rs
core-foundation-sys | 0.8.7 | MIT OR Apache-2.0 | https://github.com/servo/core-foundation-rs
core-graphics | 0.23.2 | MIT OR Apache-2.0 | https://github.com/servo/core-foundation-rs
core-graphics-types | 0.1.3 | MIT OR Apache-2.0 | https://github.com/servo/core-foundation-rs
crc32fast | 1.5.0 | MIT OR Apache-2.0 | https://github.com/srijs/rust-crc32fast
cursor-icon | 1.2.0 | MIT OR Apache-2.0 OR Zlib | https://github.com/rust-windowing/cursor-icon
dispatch | 0.2.0 | MIT | http://github.com/SSheldon/rust-dispatch
dispatch2 | 0.3.1 | Zlib OR Apache-2.0 OR MIT | https://github.com/madsmtm/objc2
displaydoc | 0.2.5 | MIT OR Apache-2.0 | https://github.com/yaahc/displaydoc
document-features | 0.2.12 | MIT OR Apache-2.0 | https://github.com/slint-ui/document-features
dpi | 0.1.2 | Apache-2.0 AND MIT | https://github.com/rust-windowing/winit
ecolor | 0.33.3 | MIT OR Apache-2.0 | https://github.com/emilk/egui
eframe | 0.33.3 | MIT OR Apache-2.0 | https://github.com/emilk/egui/tree/main/crates/eframe
egui | 0.33.3 | MIT OR Apache-2.0 | https://github.com/emilk/egui
egui_glow | 0.33.3 | MIT OR Apache-2.0 | https://github.com/emilk/egui/tree/main/crates/egui_glow
egui-winit | 0.33.3 | MIT OR Apache-2.0 | https://github.com/emilk/egui/tree/main/crates/egui-winit
emath | 0.33.3 | MIT OR Apache-2.0 | https://github.com/emilk/egui/tree/main/crates/emath
